run_id,architecture,alpha,seed,test_mse,test_mae,test_r2,test_snr_db,baseline_mse,epochs_run,wall_clock_s,per_freq_mse_1hz,per_freq_mse_3hz,per_freq_mse_5hz,per_freq_mse_7hz
fc_alpha0.010_seed42_20260504T165456,fc,0.01,42,0.12006183713674545,0.24976305663585663,0.76181893614173,6.23310418976385,0.5043306946754456,80,3.532877291996556,0.06502741575241089,0.047820352017879486,0.22678862512111664,0.14017720520496368
rnn_alpha0.010_seed42_20260504T165505,rnn,0.01,42,0.24652963876724243,0.39156654477119446,0.5109296075233268,3.108462775839798,0.5043306946754456,80,8.513935792005213,0.28076043725013733,0.12170062214136124,0.3136127293109894,0.26245346665382385
lstm_alpha0.010_seed42_20260504T165512,lstm,0.01,42,0.32912325859069824,0.47968700528144836,0.34707872839471976,1.8535683195175179,0.5043306946754456,25,7.0157405419959105,0.3878960609436035,0.2420370876789093,0.38283056020736694,0.29867202043533325
fc_alpha0.010_seed123_20260504T165515,fc,0.01,123,0.14589956402778625,0.29240337014198303,0.7095063980042815,5.373052659490782,0.5027583241462708,80,3.5501956250009243,0.13636276125907898,0.11854036152362823,0.20500990748405457,0.1307545304298401
rnn_alpha0.010_seed123_20260504T165524,rnn,0.01,123,0.30431750416755676,0.4466833472251892,0.3940880437720323,2.1803231527283726,0.5027583241462708,80,8.399762500004726,0.3875369727611542,0.2519376277923584,0.36454302072525024,0.21938160061836243
lstm_alpha0.010_seed123_20260504T165546,lstm,0.01,123,0.17558357119560242,0.3055269122123718,0.6504039949368172,4.5687537644077665,0.5027583241462708,80,22.282394417001342,0.12532998621463776,0.16359959542751312,0.26814520359039307,0.15639933943748474
fc_alpha0.010_seed7_20260504T165550,fc,0.01,7,0.23247063159942627,0.3806614875793457,0.5047873174754276,3.056557195082024,0.4699198603630066,80,3.5392144580036984,0.24806806445121765,0.2843059003353119,0.22148358821868896,0.17127454280853271
rnn_alpha0.010_seed7_20260504T165553,rnn,0.01,7,0.37589654326438904,0.5319182872772217,0.19925914661545274,0.9695549150396598,0.4699198603630066,33,3.3708306249973248,0.3995078206062317,0.3748423755168915,0.41000330448150635,0.31814679503440857
lstm_alpha0.010_seed7_20260504T165615,lstm,0.01,7,0.30856382846832275,0.4650525450706482,0.34269232897526625,1.8267877736852431,0.4699198603630066,80,22.334090500000457,0.37941664457321167,0.3229524493217468,0.216637521982193,0.30160224437713623
fc_alpha0.050_seed42_20260504T165619,fc,0.05,42,0.1430085301399231,0.2716000974178314,0.716296833114448,5.473534660119489,0.5043306946754456,80,3.5432643749954877,0.09360478073358536,0.05958183482289314,0.24435268342494965,0.17275507748126984
rnn_alpha0.050_seed42_20260504T165624,rnn,0.05,42,0.32365065813064575,0.4711439311504364,0.35793539566647725,1.9263892088370285,0.5043306946754456,49,5.042603750000126,0.3765203058719635,0.23654121160507202,0.3910914659500122,0.2861554026603699
lstm_alpha0.050_seed42_20260504T165646,lstm,0.05,42,0.20569521188735962,0.33639079332351685,0.5919377483528386,3.894912280914993,0.5043306946754456,80,22.160798917000648,0.20518094301223755,0.08734535425901413,0.294566810131073,0.22998382151126862
fc_alpha0.050_seed123_20260504T165650,fc,0.05,123,0.19329088926315308,0.3330591320991516,0.6151477928294908,4.151478559900338,0.5027583241462708,80,3.552386374998605,0.17832587659358978,0.15606571733951569,0.24528023600578308,0.20001906156539917
rnn_alpha0.050_seed123_20260504T165658,rnn,0.05,123,0.30725228786468506,0.4615079164505005,0.3882447243929139,2.138641143455559,0.5027583241462708,80,8.29045908399712,0.4052424132823944,0.25262293219566345,0.3500688970088959,0.2250962257385254
lstm_alpha0.050_seed123_20260504T165721,lstm,0.05,123,0.20360465347766876,0.33046942949295044,0.5946125663764994,3.9257155550431473,0.5027583241462708,80,22.530107832993963,0.16298912465572357,0.20749934017658234,0.27972525358200073,0.17313924431800842
fc_alpha0.050_seed7_20260504T165724,fc,0.05,7,0.2639089524745941,0.4046870470046997,0.4378168800488619,2.5056967666784447,0.4699198603630066,80,3.647412500002247,0.2924991250038147,0.2946966588497162,0.24048367142677307,0.22199390828609467
rnn_alpha0.050_seed7_20260504T165728,rnn,0.05,7,0.37650948762893677,0.5316028594970703,0.19795340110638104,0.9624787653729215,0.4699198603630066,33,3.4397052909989725,0.3993667662143707,0.3788239061832428,0.40890002250671387,0.3177141547203064
lstm_alpha0.050_seed7_20260504T165750,lstm,0.05,7,0.3103451132774353,0.4665159285068512,0.33889782950948444,1.801788950438413,0.4699198603630066,80,22.18133087499882,0.3759194016456604,0.3217293918132782,0.23074845969676971,0.30071133375167847
fc_alpha0.100_seed42_20260504T165753,fc,0.1,42,0.1786821335554123,0.317682147026062,0.645526844627965,4.5063429853921635,0.5043306946754456,80,3.5278034580042004,0.13861194252967834,0.0924597755074501,0.2877253592014313,0.1943236142396927
rnn_alpha0.100_seed42_20260504T165802,rnn,0.1,42,0.23026323318481445,0.3642120063304901,0.5431992272401714,3.404908197971048,0.5043306946754456,80,8.397809375004726,0.21895582973957062,0.10089869052171707,0.32648640871047974,0.2684688866138458
lstm_alpha0.100_seed42_20260504T165824,lstm,0.1,42,0.22685688734054565,0.35902178287506104,0.5499568073596617,3.469634527795625,0.5043306946754456,80,22.297459125002206,0.24950246512889862,0.09711756557226181,0.3168312907218933,0.23723097145557404
fc_alpha0.100_seed123_20260504T165828,fc,0.1,123,0.24351665377616882,0.38504213094711304,0.515145702613839,3.148305883951953,0.5027583241462708,80,3.57022670799779,0.2542631924152374,0.19209754467010498,0.29722538590431213,0.237015962600708
rnn_alpha0.100_seed123_20260504T165834,rnn,0.1,123,0.35298246145248413,0.5002303719520569,0.2971935695244614,1.5360611110984856,0.5027583241462708,59,6.06227837500046,0.4582514762878418,0.27756398916244507,0.3892340064048767,0.29039278626441956
lstm_alpha0.100_seed123_20260504T165856,lstm,0.1,123,0.24096237123012543,0.37767860293388367,0.5202313917336345,3.194100093753989,0.5027583241462708,80,22.297454583000217,0.24611686170101166,0.21272005140781403,0.3098951280117035,0.2030486911535263
fc_alpha0.100_seed7_20260504T165900,fc,0.1,7,0.28116148710250854,0.418960839509964,0.4010652952845669,2.230679994525457,0.4699198603630066,80,3.52938770900073,0.31954532861709595,0.2995591163635254,0.24399712681770325,0.2542954385280609
rnn_alpha0.100_seed7_20260504T165903,rnn,0.1,7,0.3773268759250641,0.5312021374702454,0.1962121990653677,0.9530606742581134,0.4699198603630066,33,3.4574840420027613,0.3993704319000244,0.3824976086616516,0.4078701138496399,0.3182128071784973
lstm_alpha0.100_seed7_20260504T165923,lstm,0.1,7,0.31955063343048096,0.47603797912597656,0.31928808759848093,1.6748412726822628,0.4699198603630066,71,20.082029375000275,0.37333065271377563,0.3408713638782501,0.25498560070991516,0.2984433174133301
fc_alpha0.200_seed42_20260504T165926,fc,0.2,42,0.2357221245765686,0.3840613067150116,0.5323697793717219,3.303150800208524,0.5043306946754456,63,2.7813372910022736,0.24374054372310638,0.13002143800258636,0.3311918079853058,0.23367774486541748
rnn_alpha0.200_seed42_20260504T165934,rnn,0.2,42,0.2834629714488983,0.4264184534549713,0.4376605436247605,2.5021909300452827,0.5043306946754456,80,8.28260891699756,0.3475145399570465,0.14918947219848633,0.3812510669231415,0.24901141226291656
lstm_alpha0.200_seed42_20260504T165957,lstm,0.2,42,0.25703075528144836,0.3880730867385864,0.4900972711046757,2.927303134928363,0.5043306946754456,80,22.125044833002903,0.30609995126724243,0.12528225779533386,0.34184330701828003,0.24759288132190704
fc_alpha0.200_seed123_20260504T170000,fc,0.2,123,0.31108391284942627,0.46036532521247864,0.3806157775310567,2.0848169921151785,0.5027583241462708,70,3.121938415999466,0.4146955609321594,0.22735761106014252,0.33961185812950134,0.26549118757247925
rnn_alpha0.200_seed123_20260504T170003,rnn,0.2,123,0.39072704315185547,0.5476308465003967,0.22204215041386266,1.0948577043516967,0.5027583241462708,26,2.9272423750007874,0.4611215591430664,0.33229392766952515,0.4110592007637024,0.3604784905910492
lstm_alpha0.200_seed123_20260504T170025,lstm,0.2,123,0.30252429842948914,0.4456466734409332,0.3976584237635159,2.205989965201393,0.5027583241462708,80,22.12747637499706,0.3670399785041809,0.24420741200447083,0.35941407084465027,0.24558517336845398
fc_alpha0.200_seed7_20260504T170028,fc,0.2,7,0.31870755553245544,0.4534510672092438,0.32108400124484504,1.686314350482411,0.4699198603630066,80,3.5416648329992313,0.35136878490448,0.34003886580467224,0.29068201780319214,0.286493182182312
rnn_alpha0.200_seed7_20260504T170032,rnn,0.2,7,0.3960826098918915,0.5368311405181885,0.15625842517116617,0.7423802883792613,0.4699198603630066,31,3.3036645829997724,0.3969755172729492,0.4058544337749481,0.4361332356929779,0.3467962443828583
lstm_alpha0.200_seed7_20260504T170048,lstm,0.2,7,0.3323003053665161,0.4923093318939209,0.29212850819966785,1.5049305577293786,0.4699198603630066,56,16.21833374999551,0.38060975074768066,0.348168283700943,0.2841567099094391,0.30740541219711304
